,title,year,first_author,website,journal_name,link,page_from
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,160
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,160
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,160
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,160
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,160
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,160
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,160
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,160
0,Topics and trends in artificial intelligence assisted human brain research,2020,X Chen,journals.plos.org,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231192,170
1,Advancements and hot research topics of artificial intelligence in mobile learning: a review of journal publications from 1995 to 2019,2021,GJ Hwang,inderscienceonline.com,International Journal of Mobile,https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2021.118444,170
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,170
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,170
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,170
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,170
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,170
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,170
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,170
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,170
0,Topics and trends in artificial intelligence assisted human brain research,2020,X Chen,journals.plos.org,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231192,180
1,Advancements and hot research topics of artificial intelligence in mobile learning: a review of journal publications from 1995 to 2019,2021,GJ Hwang,inderscienceonline.com,International Journal of Mobile,https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2021.118444,180
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,180
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,180
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,180
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,180
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,180
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,180
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,180
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,180
0,Topics and trends in artificial intelligence assisted human brain research,2020,X Chen,journals.plos.org,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231192,190
1,Advancements and hot research topics of artificial intelligence in mobile learning: a review of journal publications from 1995 to 2019,2021,GJ Hwang,inderscienceonline.com,International Journal of Mobile,https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2021.118444,190
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,190
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,190
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,190
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,190
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,190
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,190
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,190
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,190
0,Topics and trends in artificial intelligence assisted human brain research,2020,X Chen,journals.plos.org,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231192,200
1,Advancements and hot research topics of artificial intelligence in mobile learning: a review of journal publications from 1995 to 2019,2021,GJ Hwang,inderscienceonline.com,International Journal of Mobile,https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2021.118444,200
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,200
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,200
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,200
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,200
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,200
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,200
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,200
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,200
0,Topics and trends in artificial intelligence assisted human brain research,2020,X Chen,journals.plos.org,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231192,210
1,Advancements and hot research topics of artificial intelligence in mobile learning: a review of journal publications from 1995 to 2019,2021,GJ Hwang,inderscienceonline.com,International Journal of Mobile,https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2021.118444,210
2,[BOOK][B] Introduction to artificial intelligence,2018,W Ertel,books.google.com,unknown,http://103.47.12.35/bitstream/handle/1/1295/PS2%20Introduction%20to%20Artificial%20Intelligence%20%28%20PDFDrive%20%29.pdf,210
3,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,EB Hansen,Elsevier,Journal of Manufacturing Systems,https://www.researchgate.net/profile/Emil-Hansen-10/publication/343630107_Artificial_intelligence_and_internet_of_things_in_small_and_medium-sized_enterprises_A_survey/links/607006f7a6fdcc5f7790a6bf/Artificial-intelligence-and-internet-of-things-in-small-and-medium-sized-enterprises-A-survey.pdf,210
4,Teachers' perspectives on artificial intelligence,2019,A Lindner,researchgate.net,12th International conference on,https://www.researchgate.net/profile/Annabel-Lindner/publication/337716601_Teachers'_Perspectives_on_Artificial_Intelligence/links/5e1077954585159aa4b140eb/Teachers-Perspectives-on-Artificial-Intelligence.pdf,210
5,Machine learning & artificial intelligence in the quantum domain: a review of recent progress,2018,V Dunjko,iopscience.iop.org,Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/pdf,210
6,Conceptual modeling in the era of Big Data and Artificial Intelligence: Research topics and introduction to the special issue,2021,J Trujillo,Elsevier,Data & Knowledge,https://rua.ua.es/dspace/bitstream/10045/118674/5/Trujillo_etal_2021_DataKnowEng_preprint.pdf,210
7,Linking artificial intelligence principles,2018,Y Zeng,arxiv.org,arXiv preprint arXiv:1812.04814,https://arxiv.org/pdf/1812.04814,210
8,Artificial intelligence in the 21st century,2018,J Liu,ieeexplore.ieee.org,IEEE Access,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf,210
9,Identification and analysis of core topics in educational artificial intelligence research: A Bibliometric analysis,2021,S Pu,un-pub.eu,Cypriot Journal of,https://www.un-pub.eu/ojs/index.php/cjes/article/download/5782/7379,210
